,CustomerID,Frequency,Sold,Days,Cluster
315,12733.0,22,383.95,233,0
316,12734.0,4,110.39999999999999,352,0
317,12735.0,43,779.5699999999999,314,0
318,12736.0,4,234.0,332,0
319,12738.0,11,155.35,371,0
320,12739.0,38,1013.04,77,0
321,12740.0,27,427.6,63,0
322,12743.0,134,546.43,133,0
323,12744.0,229,9120.39,51,1
324,12747.0,103,4196.01,1,2
326,12749.0,231,3868.2,3,2
327,12750.0,15,275.88,128,0
328,12752.0,53,4366.78,80,2
330,12754.0,65,2949.12,235,2
331,12755.0,6,2203.2,249,2
332,12756.0,4,112.07999999999998,86,0
333,12757.0,377,4227.7,15,2
334,12758.0,97,2791.59,116,2
335,12759.0,95,1531.44,51,0
336,12762.0,69,1898.52,7,2
337,12763.0,18,494.08,137,0
338,12764.0,45,1693.88,316,0
339,12766.0,310,6989.63,3,1
340,12769.0,32,1143.6,238,0
341,12770.0,12,1351.45,210,0
342,12772.0,55,892.47,59,0
343,12775.0,67,1351.24,16,0
344,12778.0,51,804.23,19,0
345,12779.0,159,3868.7,20,2
346,12781.0,30,707.72,20,0
347,12782.0,107,2273.32,4,2
348,12783.0,86,1603.87,1,0
349,12784.0,59,574.42,8,0
350,12785.0,15,305.71,2,0
351,12787.0,20,463.66,9,0
352,12789.0,4,91.85,64,0
353,12790.0,21,324.92,191,0
354,12791.0,2,192.60000000000002,373,0
355,12792.0,25,400.53999999999996,256,0
356,12793.0,24,545.48,334,0
357,12794.0,45,860.41,52,0
358,12795.0,14,430.48,18,0
359,12797.0,17,194.18,359,0
360,12798.0,8,6977.04,9,1
361,12802.0,26,412.58,183,0
362,12808.0,28,483.65000000000003,36,0
363,12809.0,26,484.36,167,0
364,12811.0,31,514.85,260,0
365,12812.0,15,229.64000000000001,44,0
366,12814.0,2,125.92,101,0
367,12815.0,47,1063.46,147,0
368,12816.0,29,572.2,95,0
369,12817.0,4,166.04,280,0
370,12818.0,16,1517.88,177,0
371,12820.0,59,942.34,2,0
372,12821.0,6,92.72,213,0
373,12822.0,47,918.98,70,0
374,12823.0,5,1759.5,74,2
375,12824.0,25,397.12,59,0
376,12826.0,94,1468.1200000000001,2,0
377,12827.0,25,430.15000000000003,5,0
378,12828.0,56,1018.71,2,0
379,12829.0,12,253.05,321,0
380,12830.0,39,6748.4,37,1
381,12831.0,9,215.05,261,0
382,12832.0,27,383.03,31,0
383,12833.0,24,417.38,144,0
384,12834.0,18,312.38,282,0
385,12836.0,175,2612.86,58,2
386,12837.0,12,134.1,172,0
387,12838.0,123,683.13,33,0
388,12839.0,316,5583.62,2,1
389,12840.0,116,2714.27,143,2
390,12841.0,439,3876.4,4,2
391,12842.0,34,1118.99,69,0
392,12843.0,108,1680.76,65,0
393,12844.0,52,325.96000000000004,28,0
394,12845.0,27,354.09,266,0
395,12847.0,91,871.54,21,0
396,12849.0,51,1050.8899999999999,30,0
397,12851.0,50,135.18,96,0
398,12852.0,20,299.75,289,0
399,12853.0,84,1881.7,107,2
400,12854.0,115,1289.15,78,0
401,12855.0,3,38.1,372,0
402,12856.0,317,2162.68,7,2
403,12857.0,46,1106.4,210,0
404,12863.0,6,504.2,51,0
405,12864.0,3,147.12,137,0
406,12865.0,96,1548.07,25,0
407,12866.0,26,559.12,282,0
408,12867.0,551,3986.22,25,2
409,12868.0,107,1607.0600000000002,185,0
410,12871.0,11,380.64,83,0
411,12872.0,66,599.97,326,0
412,12873.0,4,374.0,281,0
413,12875.0,2,343.2300000000001,142,0
414,12876.0,85,2218.02,57,2
415,12877.0,154,1535.77,3,0
416,12878.0,49,841.64,17,0
417,12879.0,12,552.5699999999999,44,0
418,12881.0,7,298.0,275,0
419,12882.0,13,1463.04,8,0
420,12883.0,42,703.47,24,0
421,12884.0,7,309.05,87,0
422,12885.0,72,1158.27,62,0
423,12886.0,86,1351.09,67,0
424,12888.0,7,313.77,213,0
425,12890.0,82,380.46999999999997,23,0
426,12891.0,3,331.0,185,0
427,12893.0,34,188.14,30,0
428,12895.0,24,347.3,41,0
429,12897.0,4,216.5,204,0
431,12902.0,10,138.68,264,0
432,12904.0,72,509.58,17,0
433,12906.0,63,2919.81,11,2
434,12908.0,4,246.0,58,0
435,12909.0,96,2128.83,39,2
436,12910.0,75,3075.04,22,2
437,12912.0,24,1662.3,2,0
438,12913.0,50,2483.63,4,2
439,12915.0,22,363.65,148,0
440,12916.0,109,2982.35,138,2
441,12917.0,2,594.0,127,0
442,12919.0,52,1301.44,7,0
443,12920.0,28,164.23,16,0
445,12922.0,28,405.38,160,0
446,12923.0,29,176.97,63,0
447,12924.0,31,929.95,87,0
448,12925.0,45,694.05,4,0
449,12928.0,84,2062.7000000000003,34,2
450,12929.0,9,105.1,121,0
451,12930.0,27,409.9,77,0
453,12933.0,107,606.28,23,0
454,12935.0,130,2156.45,1,2
455,12936.0,63,1012.9,16,0
456,12937.0,120,1504.27,14,0
457,12938.0,9,114.14,25,0
458,12939.0,47,11581.8,63,1
459,12940.0,103,876.29,45,0
460,12942.0,75,683.9,130,0
461,12944.0,30,604.51,35,0
462,12945.0,23,462.95,287,0
463,12947.0,103,1407.29,143,0
464,12948.0,118,2053.7,15,2
465,12949.0,219,4143.02,30,2
466,12950.0,23,1843.0,1,2
467,12951.0,65,1042.07,8,0
468,12952.0,80,1382.8400000000001,5,0
469,12953.0,17,329.85,9,0
470,12955.0,183,4734.26,0,2
471,12956.0,19,108.07,305,0
472,12957.0,244,3979.04,3,2
473,12962.0,16,266.39,6,0
474,12963.0,96,1841.03,7,2
475,12965.0,109,771.91,88,0
476,12966.0,10,160.18,9,0
477,12967.0,33,1194.75,2,0
478,12968.0,5,135.95,111,0
479,12970.0,151,452.24,6,0
480,12971.0,308,10930.26,3,1
481,12974.0,8,144.8,197,0
482,12976.0,22,738.6,211,0
483,12977.0,9,39.239999999999995,155,0
484,12980.0,24,7092.06,155,1
485,12981.0,20,372.21999999999997,29,0
486,12982.0,34,377.2,239,0
487,12984.0,4,97.5,18,0
488,12985.0,78,1215.6200000000001,0,0
489,12987.0,30,545.0,73,0
490,12988.0,92,535.32,291,0
491,12989.0,68,6854.51,2,1
492,12990.0,13,409.5,30,0
493,12991.0,31,503.76,22,0
494,12993.0,27,414.76,22,0
495,12994.0,73,902.22,3,0
496,12995.0,5,200.72,77,0
497,12997.0,67,1197.94,21,0
498,12999.0,28,455.88,195,0
499,13000.0,31,534.85,106,0
500,13001.0,342,9797.92,3,1
501,13002.0,7,120.94999999999999,317,0
502,13003.0,6,149.05,105,0
503,13004.0,409,5613.43,11,1
504,13005.0,29,468.95,173,0
505,13006.0,4,81.57,55,0
506,13008.0,15,178.46999999999997,322,0
507,13011.0,3,50.550000000000004,371,0
508,13012.0,107,1311.6200000000001,8,0
509,13013.0,222,4786.99,0,2
510,13014.0,124,3365.43,2,2
511,13015.0,176,3346.28,52,2
512,13016.0,47,789.89,72,0
513,13017.0,1,204.0,6,0
514,13018.0,459,7272.75,15,1
515,13021.0,134,2584.4,3,2
516,13023.0,40,689.9,63,0
517,13026.0,43,936.15,0,0
518,13027.0,26,6912.0,113,1
519,13028.0,47,659.68,22,0
520,13029.0,10,1247.5,30,0
521,13030.0,99,799.48,10,0
522,13032.0,75,996.52,38,0
523,13033.0,11,190.55,356,0
524,13034.0,37,642.77,54,0
525,13035.0,30,886.63,57,0
526,13037.0,48,881.07,137,0
527,13038.0,28,908.46,79,0
528,13040.0,43,676.99,8,0
529,13043.0,14,471.57,253,0
530,13044.0,33,560.47,290,0
531,13045.0,18,305.28000000000003,98,0
532,13046.0,35,629.31,30,0
533,13047.0,196,3079.1,31,2
534,13048.0,137,1805.91,13,2
535,13049.0,14,656.6800000000001,63,0
536,13050.0,422,5684.61,8,1
537,13052.0,18,348.15000000000003,211,0
538,13055.0,78,1201.96,63,0
539,13058.0,8,271.40000000000003,24,0
540,13059.0,8,183.4,249,0
541,13060.0,15,307.53,253,0
542,13061.0,10,248.61,71,0
543,13062.0,11,346.98,190,0
544,13064.0,69,1119.49,12,0
545,13065.0,14,205.86,372,0
546,13066.0,49,430.9,23,0
547,13067.0,15,115.46000000000001,81,0
548,13068.0,2,344.0,9,0
549,13069.0,470,3717.82,0,2
550,13070.0,9,228.8,191,0
551,13072.0,7,177.15,266,0
552,13075.0,22,919.61,129,0
553,13077.0,112,729.27,0,0
554,13078.0,380,12432.28,0,1
555,13079.0,6,220.10000000000002,3,0
556,13080.0,6,58.08,178,0
558,13082.0,75,3595.48,125,2
559,13083.0,18,303.75,3,0
560,13085.0,29,272.38,157,0
562,13090.0,161,8689.39,8,1
563,13091.0,24,319.82,20,0
564,13092.0,26,459.83,70,0
565,13093.0,170,7741.47,266,1
566,13094.0,30,1708.8600000000001,20,0
567,13095.0,6,74.39999999999999,70,0
568,13097.0,437,5893.32,32,1
570,13099.0,1,207.35999999999999,98,0
571,13101.0,8,101.19,233,0
572,13102.0,310,6336.29,0,1
573,13103.0,8,243.94,39,0
574,13104.0,20,1098.48,2,0
575,13106.0,2,59.5,128,0
576,13107.0,60,1524.07,43,0
577,13108.0,10,350.06,372,0
578,13109.0,50,766.84,2,0
579,13110.0,146,1452.8700000000001,30,0
580,13113.0,280,10510.0,0,1
581,13115.0,132,2205.63,8,2
582,13116.0,31,485.19,116,0
583,13117.0,76,984.91,21,0
584,13118.0,82,1125.0,19,0
585,13120.0,1,30.599999999999998,238,0
586,13121.0,53,254.73,268,0
587,13122.0,55,922.39,93,0
588,13124.0,235,3866.33,89,2
589,13126.0,142,2056.29,4,2
590,13127.0,15,259.17,77,0
591,13130.0,2,64.0,93,0
592,13131.0,46,1039.3,22,0
593,13132.0,3,77.3,261,0
594,13133.0,7,109.8,273,0
595,13134.0,105,1740.63,72,2
596,13135.0,1,3096.0,196,2
597,13136.0,139,2545.38,49,2
598,13137.0,705,3605.08,10,2
599,13138.0,63,962.39,21,0
600,13139.0,174,5055.79,15,2
601,13140.0,46,423.72,107,0
602,13141.0,136,2385.8,84,2
603,13142.0,23,307.09,18,0
604,13144.0,3,110.95,332,0
605,13145.0,7,614.77,39,0
606,13146.0,17,228.91,25,0
607,13147.0,4,712.8000000000001,9,0
608,13148.0,347,3348.48,28,2
609,13149.0,86,1676.06,13,0
610,13151.0,75,1250.3700000000001,202,0
611,13153.0,15,486.22,5,0
612,13155.0,85,971.76,32,0
613,13157.0,89,1721.57,48,2
614,13158.0,79,1201.06,94,0
615,13159.0,122,1379.75,8,0
616,13160.0,4,91.8,21,0
617,13161.0,8,112.75,312,0
618,13162.0,82,1644.99,121,0
619,13165.0,42,1021.48,45,0
620,13166.0,42,414.7,281,0
621,13167.0,65,791.33,18,0
622,13168.0,133,1310.14,35,0
623,13169.0,13,712.88,63,0
624,13170.0,32,116.00999999999999,26,0
625,13171.0,48,426.81,7,0
626,13173.0,43,353.65,3,0
627,13174.0,314,2817.03,15,2
628,13176.0,72,492.84,45,0
629,13177.0,17,282.45,64,0
630,13178.0,265,5725.47,25,1
631,13182.0,11,121.18,44,0
632,13183.0,94,3957.78,7,2
633,13184.0,183,1648.79,14,0
634,13185.0,1,71.4,267,0
635,13186.0,84,1539.69,39,0
636,13187.0,37,236.02,336,0
637,13188.0,2,114.60000000000001,10,0
638,13189.0,29,260.68,18,0
639,13192.0,63,911.94,94,0
640,13193.0,29,117.88,60,0
641,13194.0,3,60.7,135,0
642,13196.0,110,1797.78,10,2
643,13198.0,229,3384.09,9,2
644,13199.0,120,9803.96,3,1
645,13200.0,46,870.09,18,0
646,13203.0,57,869.46,9,0
647,13207.0,8,250.26000000000002,14,0
648,13208.0,150,1205.9,58,0
649,13209.0,329,5820.16,29,1
650,13210.0,22,353.48,93,0
651,13211.0,56,1197.42,9,0
652,13212.0,143,780.58,8,0
653,13213.0,92,1518.43,56,0
654,13216.0,5,333.74,267,0
655,13217.0,7,133.62,121,0
656,13218.0,5,62.63999999999999,126,0
657,13220.0,21,819.2900000000001,77,0
658,13221.0,66,847.41,239,0
659,13223.0,5,163.20000000000002,199,0
660,13224.0,109,2150.85,59,2
661,13225.0,34,6083.04,2,1
662,13226.0,16,108.21000000000001,272,0
663,13227.0,9,257.7,201,0
664,13228.0,2,358.0,80,0
665,13229.0,10,160.95,225,0
666,13230.0,612,2763.41,3,2
667,13232.0,207,1357.6,12,0
668,13233.0,43,605.12,73,0
669,13235.0,59,101.17000000000007,211,0
670,13236.0,39,727.27,24,0
671,13238.0,32,680.83,10,0
672,13239.0,22,329.56,261,0
673,13240.0,67,663.65,95,0
674,13242.0,13,270.40000000000003,111,0
675,13243.0,58,600.07,202,0
676,13244.0,27,121.74000000000001,92,0
677,13245.0,16,430.5,50,0
678,13246.0,143,1922.1,17,2
679,13247.0,25,501.12,17,0
680,13248.0,26,465.68,124,0
681,13249.0,23,711.41,91,0
682,13253.0,36,1030.4,156,0
683,13255.0,14,390.66,3,0
684,13258.0,38,698.58,11,0
685,13259.0,87,292.32,61,0
686,13260.0,8,557.62,60,0
687,13261.0,9,944.1,268,0
688,13262.0,11,200.29,262,0
690,13265.0,91,2107.66,52,2
691,13266.0,202,3717.67,10,2
692,13267.0,224,4404.44,2,2
693,13268.0,447,3167.64,17,2
694,13269.0,320,5315.92,0,1
695,13270.0,1,590.0,365,0
696,13271.0,101,178.26,36,0
697,13272.0,15,276.56,30,0
698,13273.0,16,138.98,112,0
699,13276.0,30,590.9300000000001,63,0
700,13277.0,8,258.4,15,0
701,13278.0,46,542.73,40,0
702,13279.0,11,126.30000000000001,63,0
703,13280.0,85,814.86,121,0
704,13282.0,40,1047.8400000000001,17,0
705,13283.0,7,93.66,59,0
706,13284.0,14,196.15,322,0
707,13285.0,187,2709.12,22,2
708,13291.0,42,361.11,155,0
709,13292.0,31,578.9399999999999,38,0
710,13294.0,54,873.74,189,0
711,13295.0,11,197.95000000000002,359,0
712,13296.0,5,87.4,136,0
713,13297.0,59,2089.85,7,2
714,13298.0,2,360.0,0,0
715,13299.0,5,142.5,267,0
716,13300.0,22,365.29,164,0
717,13301.0,81,618.09,103,0
718,13302.0,1,63.75,154,0
719,13304.0,21,300.42,350,0
720,13305.0,81,2000.86,3,2
721,13307.0,1,15.0,119,0
722,13308.0,57,1367.6100000000001,22,0
723,13309.0,107,1456.79,6,0
724,13310.0,77,1083.63,8,0
725,13311.0,26,598.57,3,0
726,13313.0,78,1555.32,21,0
727,13314.0,75,578.66,1,0
728,13316.0,88,5815.49,36,1
729,13317.0,135,2140.07,63,2
730,13318.0,20,640.76,0,0
731,13319.0,500,10664.34,4,1
732,13320.0,110,1491.7,69,0
733,13321.0,11,567.36,71,0
734,13322.0,25,199.48000000000002,16,0
735,13323.0,21,787.85,2,0
736,13324.0,77,7072.8,31,1
737,13325.0,12,675.3,81,0
738,13327.0,109,3617.57,38,2
739,13328.0,17,1308.48,315,0
740,13329.0,19,740.4,31,0
741,13330.0,53,1140.93,92,0
742,13332.0,21,350.9,13,0
743,13334.0,268,3536.82,81,2
744,13336.0,51,795.12,76,0
745,13338.0,24,431.82,153,0
746,13339.0,54,860.12,200,0
747,13340.0,134,10736.48,44,1
748,13341.0,42,775.85,260,0
749,13343.0,22,303.93,172,0
750,13344.0,119,2543.72,67,2
751,13345.0,22,377.6,276,0
752,13347.0,8,341.36,69,0
753,13348.0,14,233.76,63,0
754,13349.0,16,247.32,10,0
755,13350.0,43,910.72,15,0
756,13351.0,16,373.94,65,0
757,13352.0,27,389.28,7,0
758,13354.0,51,743.53,70,0
759,13355.0,32,674.7,121,0
760,13356.0,42,768.24,79,0
761,13357.0,90,609.95,256,0
762,13358.0,29,439.03,268,0
763,13359.0,24,431.26,58,0
764,13362.0,169,3085.4900000000002,2,2
765,13363.0,60,992.5,17,0
766,13365.0,132,2191.22,8,2
767,13366.0,1,56.160000000000004,49,0
768,13368.0,29,623.4,256,0
769,13369.0,19,263.75,353,0
770,13370.0,44,721.32,365,0
771,13372.0,23,378.64,89,0
772,13373.0,158,3312.25,60,2
773,13375.0,38,772.9,80,0
774,13376.0,53,1019.76,98,0
775,13379.0,97,572.56,25,0
776,13381.0,173,3626.81,20,2
777,13382.0,15,222.99,280,0
778,13384.0,155,4122.28,30,2
779,13385.0,35,534.57,329,0
780,13388.0,36,627.15,120,0
781,13389.0,51,797.96,10,0
782,13390.0,13,544.08,74,0
783,13391.0,1,59.8,203,0
784,13394.0,164,2312.8,1,2
785,13395.0,21,307.72,184,0
786,13396.0,47,1325.29,21,0
787,13397.0,39,1539.18,72,0
788,13398.0,26,457.34,191,0
789,13402.0,39,621.23,126,0
790,13403.0,3,75.0,17,0
791,13404.0,11,252.49,0,0
792,13405.0,27,572.451,73,0
794,13410.0,30,988.91,8,0
795,13411.0,18,213.55,106,0
796,13414.0,24,1390.5,133,0
797,13416.0,19,712.5,43,0
